Org A,Org B,Effect
Enterobacter hormaechei,Escherichia coli,-0.523
Enterobacter hormaechei,Klebsiella pneumoniae,-0.641
Enterobacter hormaechei,Pantoea ananatis,-0.611
Enterobacter hormaechei,Pantoea dispersa,-0.699
Enterobacter hormaechei,Rahnella aquatilis,-0.828
Escherichia coli,Klebsiella pneumoniae,-0.832
Escherichia coli,Pantoea ananatis,-0.804
Escherichia coli,Pantoea dispersa,-0.783
Escherichia coli,Rahnella aquatilis,-1
Klebsiella pneumoniae,Pantoea ananatis,-0.738
Klebsiella pneumoniae,Pantoea dispersa,-0.839
Klebsiella pneumoniae,Rahnella aquatilis,-0.668
Pantoea ananatis,Pantoea dispersa,-0.175
Pantoea ananatis,Rahnella aquatilis,-0.483
Pantoea dispersa,Rahnella aquatilis,-0.674
Escherichia coli,Enterobacter hormaechei,-0.477
Klebsiella pneumoniae,Enterobacter hormaechei,-0.359
Pantoea ananatis,Enterobacter hormaechei,-0.262
Pantoea dispersa,Enterobacter hormaechei,-0.203
Rahnella aquatilis,Enterobacter hormaechei,-0.172
Klebsiella pneumoniae,Escherichia coli,-0.168
Pantoea ananatis,Escherichia coli,-0.132
Pantoea dispersa,Escherichia coli,-0.146
Rahnella aquatilis,Escherichia coli,0
Pantoea ananatis,Klebsiella pneumoniae,-0.176
Pantoea dispersa,Klebsiella pneumoniae,-0.108
Rahnella aquatilis,Klebsiella pneumoniae,-0.332
Pantoea dispersa,Pantoea ananatis,-0.825
Rahnella aquatilis,Pantoea ananatis,-0.283
Rahnella aquatilis,Pantoea dispersa,0
